"function";"bitsAmount";"oldMethod";"ourMethod"
"and";48;0,00016000866889953613;0,00043500065803527834
"getBestSegments";48;0,0019700586795806884;0,0008549034595489502
"or";49;0,00023999810218811035;0,0004450201988220215
"and";49;0,00015500187873840332;0,0004149973392486572
"getBestSegments";49;0,00191497802734375;0,0008799970149993896
"or";50;0,00021998882293701173;0,00044499635696411134
"and";50;0,0001550137996673584;0,00042998790740966797
"getBestSegments";50;0,002090054750442505;0,0009399592876434326
"or";51;0,00022500157356262208;0,0004950106143951416
"and";51;0,00016498565673828125;0,00048000812530517577
"getBestSegments";51;0,001920032501220703;0,0008799493312835694
"or";52;0,00023998618125915528;0,00047499537467956545
"and";52;0,0001650094985961914;0,0004549860954284668
"getBestSegments";52;0,0022100329399108885;0,0009399950504302979
"or";53;0,00021498203277587892;0,00047502517700195315
"and";53;0,00017496943473815918;0,00044002532958984373
"getBestSegments";53;0,0020800530910491943;0,0009649395942687988
"or";54;0,00022500157356262208;0,0005099952220916748
"and";54;0,00018001198768615722;0,0004850029945373535
"getBestSegments";54;0,002110022306442261;0,0009050071239471436
"or";55;0,00024500489234924316;0,0004999876022338867
"and";55;0,00018500089645385743;0,00047499537467956545
"getBestSegments";55;0,0023599505424499513;0,0010300099849700928
"or";56;0,00023999214172363282;0,0004999995231628418
"and";56;0,00016499757766723632;0,0004750072956085205
"getBestSegments";56;0,0022450387477874756;0,0009499788284301758
"or";57;0,00023999214172363282;0,0004999816417694091
"and";57;0,00018001198768615722;0,0004849731922149658
"getBestSegments";57;0,0022449612617492674;0,0009700298309326172
"or";58;0,00023999810218811035;0,0005249977111816406
"and";58;0,0001849830150604248;0,0004850029945373535
"getBestSegments";58;0,002239948511123657;0,0009100198745727539
"or";59;0,00023999810218811035;0,0005199968814849854
"and";59;0,00016501545906066895;0,0004949808120727539
"getBestSegments";59;0,0022850096225738525;0,000959998369216919
"or";60;0,0002299785614013672;0,0005250275135040283
"and";60;0,00017999410629272462;0,0004900097846984863
"getBestSegments";60;0,0025349736213684084;0,0011150360107421875
"or";61;0,00024500489234924316;0,0005349934101104737
"and";61;0,00017001628875732422;0,000504988431930542
"getBestSegments";61;0,0022650241851806642;0,000999981164932251
"or";62;0,0002499997615814209;0,0005150079727172851
"and";62;0,00018998384475708008;0,0005199968814849854
"getBestSegments";62;0,002410024404525757;0,007180017232894897
"or";63;0,00022499561309814454;0,0005450069904327393
"and";63;0,00016499757766723632;0,0005599737167358398
"getBestSegments";63;0,002249997854232788;0,0009849965572357178
"or";64;0,0002550065517425537;0,0005550026893615722
"and";64;0,00017999410629272462;0,0005600094795227051
"getBestSegments";64;0,002674996852874756;0,0010999977588653565
"or";65;0,00025501251220703123;0,0008750021457672119
"and";65;0,0003249943256378174;0,0009900033473968506
"getBestSegments";65;0,0033100247383117676;0,001409977674484253
"or";66;0,00024999380111694335;0,0005550086498260498
"and";66;0,00016500353813171388;0,0005349993705749511
"getBestSegments";66;0,0025200128555297853;0,0010850012302398681
"or";67;0,00026003122329711916;0,0005500078201293946
"and";67;0,00017499327659606934;0,0005250334739685059
"getBestSegments";67;0,002405029535293579;0,0010049581527709962
"or";68;0,00024000406265258789;0,0005649983882904053
"and";68;0,0001800060272216797;0,0005450010299682617
"getBestSegments";68;0,0027700066566467285;0,0011549770832061767
"or";69;0,00027000308036804197;0,0005750119686126709
"and";69;0,00019998550415039061;0,0005650043487548829
"getBestSegments";69;0,0028949618339538575;0,0070250511169433595
"or";70;0,0002449989318847656;0,0005950033664703369
"and";70;0,00018000006675720215;0,0005599856376647949
"getBestSegments";70;0,0027400076389312742;0,0011599957942962646
"or";71;0,0002549886703491211;0,0005999922752380372
"and";71;0,00019000768661499025;0,0006999909877777099
"getBestSegments";71;0,004300034046173096;0,0011149883270263673
"or";72;0,00026001334190368653;0,0006000041961669922
"and";72;0,0001949906349182129;0,0007600188255310059
"getBestSegments";72;0,010019993782043457;0,0012050092220306397
"or";73;0,005150002241134643;0,0006649971008300781
"and";73;0,005250006914138794;0,0007049918174743652
"getBestSegments";73;0,0827250063419342;0,0014000117778778076
"or";74;0,0030050039291381835;0,0006500065326690673
"and";74;0,0029399991035461426;0,0006000041961669922
"getBestSegments";74;0,013649946451187134;0,0012100458145141602
"or";75;0,011505001783370971;0,000690007209777832
"and";75;0,012420004606246949;0,009539997577667237
"getBestSegments";75;0,011674976348876953;0,001285010576248169
"or";76;0,0013949990272521973;0,0006999969482421875
"and";76;0,0013450145721435546;0,0006400048732757568
"getBestSegments";76;0,04746003150939941;0,0012049913406372071
"or";77;0,00026999711990356446;0,0006799995899200439
"and";77;0,00020999908447265624;0,0006200075149536133
"getBestSegments";77;0,009469997882843018;0,0011350154876708985
"or";78;0,00024000406265258789;0,001569986343383789
"and";78;0,0002050161361694336;0,0005949854850769043
"getBestSegments";78;0,010155010223388671;0,0018999874591827393
"or";79;0,00025500059127807616;0,0006099939346313477
"and";79;0,00020999908447265624;0,00060499906539917
"getBestSegments";79;0,010339969396591186;0,001265031099319458
"or";80;0,00025500059127807616;0,0006949961185455322
"and";80;0,00021498203277587892;0,0006599962711334228
"getBestSegments";80;0,010360014438629151;0,001304960250854492
